sales_id,monthly_target_usd,version,effective_from,effective_to,,,,
4121806,5000,,,,,,,
4122734,5000,,,,,,,
4123059,5000,,,,,,,
4121807,5000,,,,,,,
4123057,5000,,,,,,,
4123060,5000,,,,,,,
4123061,5000,,,,,,,
4124168,5000,,,,,,,
4123056,5000,,,,,,,
4121806,5000,20250301,2026/3/1,2026/3/31,,,,
4122734,4500,20250301,2026/3/1,2026/3/31,,,,
4123059,4500,20250301,2026/3/1,2026/3/31,,,,
4121807,5000,20250301,2026/3/1,2026/3/31,,,,
4123057,4000,20250301,2026/3/1,2026/3/31,,,,
4123060,4500,20250301,2026/3/1,2026/3/31,,,,
4123061,4000,20250301,2026/3/1,2026/3/31,,,,
4124168,4000,20250301,2026/3/1,2026/3/31,,,,
,,,,,,,,
